x,z
http://gemeenteraad.org/vocabulary/vote_number(1978),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/invalid_vote(1946),http://gemeenteraad.org/vocabulary/invalid_vote(1946)
http://gemeenteraad.org/vocabulary/invalid_vote(1946),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Partij_voor_het_Noorden_have_vote(2006),http://gemeenteraad.org/vocabulary/Partij_voor_het_Noorden_have_vote(2006)
http://gemeenteraad.org/vocabulary/Partij_voor_het_Noorden_have_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/D66_have_vote(2010),http://gemeenteraad.org/vocabulary/D66_have_vote(2010)
http://gemeenteraad.org/vocabulary/D66_have_vote(2010),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CHU_have_vote(1966),http://gemeenteraad.org/vocabulary/CHU_have_vote(1966)
http://gemeenteraad.org/vocabulary/CHU_have_vote(1966),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA&GL&D66_have_vote(2006),http://gemeenteraad.org/vocabulary/PvdA&GL&D66_have_vote(2006)
http://gemeenteraad.org/vocabulary/PvdA&GL&D66_have_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PAK_have_vote(1982),http://gemeenteraad.org/vocabulary/PAK_have_vote(1982)
http://gemeenteraad.org/vocabulary/PAK_have_vote(1982),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/RK_have_vote(1953),http://gemeenteraad.org/vocabulary/RK_have_vote(1953)
http://gemeenteraad.org/vocabulary/RK_have_vote(1953),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Overige_partijen_have_vote(1958),http://gemeenteraad.org/vocabulary/Overige_partijen_have_vote(1958)
http://gemeenteraad.org/vocabulary/Overige_partijen_have_vote(1958),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/GL_have_vote(1990),http://gemeenteraad.org/vocabulary/GL_have_vote(1990)
http://gemeenteraad.org/vocabulary/GL_have_vote(1990),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/valid_vote(1982),http://gemeenteraad.org/vocabulary/valid_vote(1982)
http://gemeenteraad.org/vocabulary/valid_vote(1982),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/valid_vote(1994),http://gemeenteraad.org/vocabulary/valid_vote(1994)
http://gemeenteraad.org/vocabulary/valid_vote(1994),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/VVD_have_vote(1990),http://gemeenteraad.org/vocabulary/VVD_have_vote(1990)
http://gemeenteraad.org/vocabulary/VVD_have_vote(1990),http://www.w3.org/2002/07/owl#topDataProperty
