Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;RK;Overige;PAK;PCG;KVP;CPN;PPR;SGP;CHU;ARP;GPV;PSP;BP;DS70;D66;PC;GG
10811;622;Vlaardingen;35277;0;0,00%;54365;35539;65,37%;14431;0;5112;0;1220;0;6519;2372;761;1640;0;0;0;0;507;0;289;186;2240;0
11249;48;Vlagtwedde;8199;0;0,00%;11569;8257;71,37%;1863;0;879;0;1915;0;0;1140;251;0;0;1243;828;0;80;0;0;0;0;0
11120;132;Vledder;1799;0;0,00%;2370;1810;76,37%;774;310;273;0;442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10658;347;Vleuten-De Meern;7733;0;0,00%;9994;7755;77,60%;0;0;1848;0;430;1319;1620;2376;0;0;0;0;0;140;0;0;0;0;0;0
10211;96;Vlieland;637;0;0,00%;716;640;89,39%;0;0;0;0;637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11293;864;Vlijmen;6803;0;0,00%;8502;6857;80,65%;0;0;0;6803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10270;718;Vlissingen;18036;0;0,00%;28831;18114;62,83%;0;4316;2948;0;1276;8566;0;0;311;0;0;0;0;0;0;433;186;0;0;0
11174;623;Vlist;365;0;0,00%;408;368;90,20%;0;0;0;0;140;0;123;102;0;0;0;0;0;0;0;0;0;0;0;0
10644;985;Vlodrop;1131;0;0,00%;1291;1153;89,31%;0;0;0;1131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11341;986;Voerendaal;4292;0;0,00%;5429;4344;80,01%;0;0;434;3464;394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11103;624;Voorburg;22840;0;0,00%;31773;22926;72,16%;0;5754;6270;0;4803;4865;0;0;246;0;134;0;0;322;0;0;446;0;0;0
10017;625;Voorhout;2905;0;0,00%;3866;2910;75,27%;0;1121;510;0;627;647;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10537;626;Voorschoten;10026;0;0,00%;13714;10064;73,38%;0;3087;3451;0;646;2486;0;0;79;0;0;0;0;0;0;0;277;0;0;0
10912;285;Voorst;10924;0;0,00%;14640;10976;74,97%;3427;4553;2261;0;102;0;0;0;0;0;223;0;0;0;0;358;0;0;0;0
10957;286;Vorden;4070;0;0,00%;5098;4094;80,31%;1000;1527;852;0;691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10630;133;Vries;4534;0;0,00%;5645;4560;80,78%;1569;601;891;0;1108;0;0;0;0;227;0;0;0;76;0;0;62;0;0;0
10643;186;Vriezenveen;7715;0;0,00%;10013;7746;77,36%;804;0;0;0;2887;0;3101;471;0;0;452;0;0;0;0;0;0;0;0;0
11224;865;Vught;10639;0;0,00%;15330;10692;69,75%;0;2323;2016;5286;0;1014;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11376;287;Vuren;1479;0;0,00%;1947;1496;76,84%;685;0;0;0;0;0;0;0;0;0;0;338;456;0;0;0;0;0;0;0
10959;866;Waalre;5583;0;0,00%;7766;5612;72,26%;0;1552;1461;1717;0;853;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11359;867;Waalwijk;9714;0;0,00%;15483;9757;63,02%;1395;2673;1889;1416;2341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10238;288;Waardenburg;1112;0;0,00%;1384;1116;80,64%;209;0;0;0;384;0;0;0;0;0;277;242;0;0;0;0;0;0;0;0
10081;627;Waddinxveen;9535;0;0,00%;12510;9561;76,43%;0;2563;1786;0;341;2871;0;0;0;0;0;0;0;126;0;0;0;0;1848;0
11010;289;Wageningen;15504;0;0,00%;20409;15566;76,27%;4551;4529;2743;0;2535;0;0;0;241;0;599;0;0;0;0;0;306;0;0;0
10042;290;Wamel;4594;0;0,00%;5891;4659;79,09%;0;0;0;0;4594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10265;868;Wanroij;2140;0;0,00%;2559;2153;84,13%;0;0;0;2140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10498;49;Warffum;1452;0;0,00%;1648;1463;88,77%;745;520;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10221;456;Warmenhuizen;1695;0;0,00%;2245;1712;76,26%;332;0;0;0;545;0;0;818;0;0;0;0;0;0;0;0;0;0;0;0
10204;628;Warmond;2187;0;0,00%;3063;2194;71,63%;0;1050;462;0;0;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10838;291;Warnsveld;3650;0;0,00%;4977;3677;73,88%;1102;0;910;0;0;0;1227;411;0;0;0;0;0;0;0;0;0;0;0;0
10402;869;Waspik;2040;0;0,00%;2682;2060;76,81%;0;0;0;2040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10164;629;Wassenaar;14361;0;0,00%;19041;14415;75,71%;0;3602;5824;0;3027;1908;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11329;630;Wateringen;5348;0;0,00%;7918;5380;67,95%;0;0;869;0;635;797;0;2432;0;0;0;424;0;0;0;0;0;0;191;0
10893;188;Weerselo;4420;0;0,00%;5175;4454;86,07%;0;0;0;4420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11081;988;Weert;15879;0;0,00%;22987;16009;69,64%;739;0;1608;12682;850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10773;457;Weesp;7887;0;0,00%;11744;7923;67,46%;2142;0;1404;0;731;0;1572;672;202;743;0;0;0;0;196;0;0;225;0;0
11116;292;Wehl;2579;0;0,00%;3659;2600;71,06%;0;0;0;0;2421;0;0;0;0;0;0;0;0;0;0;158;0;0;0;0
10078;870;Werkendam;7389;0;0,00%;9873;7417;75,12%;1861;0;750;0;0;0;0;0;0;0;1301;952;2461;64;0;0;0;0;0;0
11270;459;Wervershoof;2736;0;0,00%;3545;2752;77,63%;0;932;245;516;808;0;0;0;0;0;0;0;0;0;0;235;0;0;0;0
10127;989;Wessem;1064;0;0,00%;1398;1082;77,40%;0;0;0;1064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10129;97;Westdongeradeel;3255;0;0,00%;4148;3285;79,19%;703;0;250;0;313;0;0;0;0;0;0;824;1165;0;0;0;0;0;0;0
11095;134;Westerbork;3502;0;0,00%;4383;3514;80,17%;1603;0;852;0;0;0;879;0;0;0;0;0;0;0;0;168;0;0;0;0
11041;871;Westerhoven;822;0;0,00%;970;834;85,98%;0;0;0;822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10701;725;Westerschouwen;2651;0;0,00%;3281;2665;81,23%;811;0;916;0;0;0;924;0;0;0;0;0;0;0;0;0;0;0;0;0
11085;293;Westervoort;2151;0;0,00%;2970;2166;72,93%;610;889;253;0;399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10931;726;Westkapelle;1472;0;0,00%;1800;1476;82,00%;497;0;0;0;282;0;0;0;0;0;335;358;0;0;0;0;0;0;0;0
