Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;LOG;CDA;PvDA;VVD;GL;D66;CU;SP;LPG;SGP;LCG;Overig
;1671;Maasdonk;5983;31;0,52%;8493;6014;70,81%;4753;1230;0;0;0;0;0;0;0;0;0;0
;263;Maasdriel;13264;8;0,06%;17929;13272;74,03%;3956;4069;1403;2737;731;0;0;0;0;368;0;0
;555;Maasland;3663;12;0,33%;5037;3675;72,96%;1637;1425;0;601;0;0;0;0;0;0;0;0
;556;Maassluis;14305;51;0,36%;25308;14356;56,73%;1357;2690;4035;2624;0;932;817;0;0;0;0;1850
;935;Maastricht;49363;99;0,20%;98741;49462;50,09%;8742;12932;9603;6065;5969;2934;0;3118;0;0;0;0
;936;Margraten;8326;16;0,19%;10506;8342;79,40%;2694;3255;0;1418;0;0;0;0;959;0;0;0
;25;Marum;4535;11;0,24%;7421;4546;61,26%;0;1373;1437;1302;0;0;423;0;0;0;0;0
;420;Medemblik;3356;10;0,30%;5888;3366;57,17%;1151;719;376;738;372;0;0;0;0;0;0;0
;993;Meerlo-Wanssum;3685;16;0,43%;5839;3701;63,38%;712;1302;252;259;0;0;0;0;1160;0;0;0
;938;Meerssen;11813;19;0,16%;15961;11832;74,13%;2499;4170;0;3942;0;0;0;0;1202;0;0;0
;941;Meijel;2976;27;0,91%;4427;3003;67,83%;363;535;0;1354;0;0;0;0;724;0;0;0
;83;Menaldumadeel;7407;4;0,05%;10587;7411;70,00%;3467;1566;1182;752;440;0;0;0;0;0;0;0
;1987;Menterwolde;6034;7;0,12%;9787;6041;61,72%;1070;668;3011;0;581;0;264;440;0;0;0;0
;119;Meppel;14319;16;0,11%;23212;14335;61,76%;4092;2692;3484;2545;0;428;1078;0;0;0;0;0
;687;Middelburg;20809;20;0,10%;34771;20829;59,90%;2448;4123;3716;2550;1588;862;1920;1442;0;2160;0;0
;559;Middelharnis;8744;10;0,11%;13102;8754;66,81%;2819;822;1312;0;0;889;1059;0;0;1843;0;0
;1731;Midden-Drenthe;15987;21;0,13%;24877;16008;64,35%;3244;3878;4352;2429;847;633;604;0;0;0;0;0
;814;Mierlo;5020;4;0,08%;7860;5024;63,92%;2073;1661;0;389;0;192;0;0;705;0;0;0
;815;Mill en Sint Hubert;5838;18;0,31%;8540;5856;68,57%;2532;2069;756;481;0;0;0;0;0;0;0;0
;265;Millingen aan de Rijn;2772;7;0,25%;4534;2779;61,29%;905;413;1092;362;0;0;0;0;0;0;0;0
;1709;Moerdijk;15711;17;0,11%;28322;15728;55,53%;5885;3468;2137;2309;1168;0;744;0;0;0;0;0
;562;Monster;9367;12;0,13%;15168;9379;61,83%;3760;2555;783;1330;0;0;0;0;0;0;939;0
;335;Montfoort;7005;9;0,13%;9858;7014;71,15%;2189;1662;0;817;0;0;572;0;1322;443;0;0
;944;Mook en Middelaar;3966;9;0,23%;6124;3975;64,91%;1384;802;658;555;567;0;0;0;0;0;0;0
;563;Moordrecht;3606;30;0,83%;5921;3636;61,41%;751;716;802;900;0;0;0;0;0;437;0;0
;424;Muiden;3612;8;0,22%;5125;3620;70,63%;500;1051;725;752;0;584;0;0;0;0;0;0
;565;Naaldwijk;12415;32;0,26%;21724;12447;57,30%;0;6121;1579;3375;0;574;0;0;0;0;766;0
;425;Naarden;7971;13;0,16%;12795;7984;62,40%;0;1857;1188;3291;1635;0;0;0;0;0;0;0
;643;Nederlek;7537;39;0,52%;11370;7576;66,63%;1006;1401;2083;1714;0;422;0;0;0;911;0;0
;946;Nederweert;8134;11;0,14%;12321;8145;66,11%;1746;3872;1426;1090;0;0;0;0;0;0;0;0
;266;Neede;5878;10;0,17%;8679;5888;67,84%;2152;1690;951;638;0;447;0;0;0;0;0;0
;304;Neerijnen;5535;29;0,52%;8533;5564;65,21%;0;1438;1736;1377;0;0;0;0;0;984;0;0
;412;Niedorp;5185;9;0,17%;8618;5194;60,27%;1026;884;1545;1730;0;0;0;0;0;0;0;0
;356;Nieuwegein;24821;54;0,22%;47956;24875;51,87%;6548;4631;3765;3955;2233;1286;0;0;0;0;1411;992
;567;Nieuwerkerk aan den IJssel;10203;23;0,23%;16318;10226;62,67%;2003;1758;1395;2899;0;674;0;0;0;0;1474;0
;569;Nieuwkoop;5177;13;0,25%;8245;5190;62,95%;1786;1147;0;972;0;0;0;0;895;0;377;0
;571;Nieuw-Lekkerland;5077;1;0,02%;6535;5078;77,70%;0;437;1352;851;0;0;1114;0;0;1323;0;0
;104;Nijefurd;5664;11;0,19%;8425;5675;67,36%;846;2087;1115;1046;419;151;0;0;0;0;0;0
;267;Nijkerk;18706;15;0,08%;27834;18721;67,26%;5521;4874;0;2260;0;0;0;0;2224;0;3827;0
;268;Nijmegen;64432;255;0,40%;122949;64687;52,61%;7217;8896;12230;6371;14258;2816;581;9431;0;0;0;2632
;1695;Noord-Beveland;3659;4;0,11%;5710;3663;64,15%;1126;1026;475;603;0;0;0;0;0;429;0;0
;1699;Noordenveld;15569;0;0,00%;24212;15569;64,30%;5595;1774;2547;2710;1600;572;771;0;0;0;0;0
;529;Noorder-Koggenland;5247;14;0,27%;7977;5261;65,95%;2214;944;1011;798;0;280;0;0;0;0;0;0
;171;Noordoostpolder;21012;29;0,14%;32278;21041;65,19%;4948;5762;0;2582;0;811;0;0;4234;0;2675;0
;575;Noordwijk;11611;29;0,25%;19147;11640;60,79%;4275;2192;0;1598;0;0;1011;0;2535;0;0;0
;576;Noordwijkerhout;7099;14;0,20%;11546;7113;61,61%;0;2440;914;2551;694;500;0;0;0;0;0;0
;820;Nuenen c.a.;11638;61;0,52%;17914;11699;65,31%;6817;1578;1152;1370;0;721;0;0;0;0;0;0
;302;Nunspeet;14823;12;0,08%;19319;14835;76,79%;5252;1950;0;955;0;0;2952;0;0;3714;0;0
;951;Nuth;9648;13;0,13%;13011;9661;74,25%;3843;3219;1089;1015;482;0;0;0;0;0;0;0
;429;Obdam;3221;5;0,16%;4812;3226;67,04%;929;1233;414;522;0;123;0;0;0;0;0;0
;579;Oegstgeest;10141;35;0,35%;15681;10176;64,89%;2984;1973;0;2451;0;0;0;0;2733;0;0;0
;823;Oirschot;9015;51;0,57%;13450;9066;67,41%;5379;2672;964;0;0;0;0;0;0;0;0;0
;824;Oisterwijk;12310;19;0,15%;19514;12329;63,18%;5583;1991;960;1883;1392;501;0;0;0;0;0;0
;269;Oldebroek;10862;12;0,11%;16625;10874;65,41%;0;2373;2077;1064;0;0;3431;0;0;1917;0;0
;173;Oldenzaal;15791;17;0,11%;24101;15808;65,59%;7457;3816;1228;1706;1070;514;0;0;0;0;0;0
;175;Ommen;8917;10;0,11%;12822;8927;69,62%;0;3794;1052;1558;0;1196;1317;0;0;0;0;0
;881;Onderbanken;4435;21;0,47%;6570;4456;67,82%;1208;952;0;1231;0;0;0;0;1044;0;0;0
;826;Oosterhout;22105;31;0,14%;40871;22136;54,16%;8898;4388;2894;3524;1081;1320;0;0;0;0;0;0
;580;Oostflakkee;4966;8;0,16%;7909;4974;62,89%;959;628;1387;621;0;0;819;0;0;552;0;0
;85;Ooststellingwerf;11987;44;0,37%;20208;12031;59,54%;0;3187;3792;2143;1246;959;660;0;0;0;0;0
;431;Oostzaan;4803;10;0,21%;6975;4813;69,00%;1256;524;493;998;1233;299;0;0;0;0;0;0
