Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;Onafhankelijk;PAK;D66;PCG;Overige;SGP;GPV;PSP;CPN;RPF;GG;RK;PPR;PC
10239;463;Wieringermeer;6733;22;0,33%;8326;6755;81,13%;1475;2615;1036;718;661;114;0;0;0;114;0;0;0;0;0;0;0
10723;296;Wijchen;16900;33;0,20%;22283;16933;75,99%;3704;5285;1332;6366;0;0;0;213;0;0;0;0;0;0;0;0;0
10434;470;Wijdewormer;846;5;0,59%;999;851;85,19%;0;241;0;389;216;0;0;0;0;0;0;0;0;0;0;0;0
10888;190;Wijhe;4470;14;0,31%;5211;4484;86,05%;1526;1939;637;368;0;0;0;0;0;0;0;0;0;0;0;0;0
10753;135;Wijk (de);2923;11;0,38%;3503;2934;83,76%;921;643;633;726;0;0;0;0;0;0;0;0;0;0;0;0;0
10760;352;Wijk bij Duurstede;7186;26;0,36%;9650;7212;74,74%;2058;2265;1642;0;437;784;0;0;0;0;0;0;0;0;0;0;0
10827;872;Willemstad;2011;12;0,60%;2403;2023;84,19%;705;909;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10758;349;Willeskop;607;1;0,16%;693;608;87,73%;0;0;0;0;0;0;0;0;66;0;0;0;0;0;408;0;133
10365;350;Wilnis;3118;14;0,45%;4107;3132;76,26%;0;1407;764;0;590;0;357;0;0;0;0;0;0;0;0;0;0
10453;52;Winschoten;12303;105;0,85%;15743;12408;78,82%;6808;1755;1582;1066;0;0;0;0;0;187;0;905;0;0;0;0;0
11135;53;Winsum;3725;12;0,32%;4340;3737;86,11%;1342;1211;520;407;0;0;0;0;0;245;0;0;0;0;0;0;0
11119;294;Winterswijk;16994;77;0,45%;21372;17071;79,88%;6813;4584;3581;0;1018;998;0;0;0;0;0;0;0;0;0;0;0
