Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;GL;D66;LCG;SP;LPG;SGP;RPF;Overig;GPV;CD;CP86
10511;441;Schagen;8039;42;0,52%;13556;8081;59,61%;1244;2414;1066;2192;670;453;0;0;0;0;0;0;0;0;0
10711;39;Scheemda;7786;42;0,54%;11169;7828;70,09%;1795;2716;0;998;839;0;0;0;0;0;436;1002;0;0;0
10308;458;Schermer;2712;15;0,55%;3707;2727;73,56%;739;437;977;559;0;0;0;0;0;0;0;0;0;0;0
11146;279;Scherpenzeel;5203;2;0,04%;6759;5205;77,01%;1119;914;702;917;0;0;0;0;0;863;688;0;0;0;0
11260;606;Schiedam;30696;46;0,15%;57645;30742;53,33%;4192;8605;4399;5298;2418;2000;0;2833;0;0;0;0;0;951;0
10355;88;Schiermonnikoog;738;2;0,27%;820;740;90,24%;0;0;416;0;0;0;203;0;119;0;0;0;0;0;0
11178;844;Schijndel;10639;52;0,49%;17128;10691;62,42%;2061;2322;2303;1464;0;0;0;2489;0;0;0;0;0;0;0
10132;962;Schinnen;8240;28;0,34%;10847;8268;76,22%;3633;1398;1913;647;0;649;0;0;0;0;0;0;0;0;0
10130;607;Schipluiden;5348;8;0,15%;7457;5356;71,83%;2509;0;0;1304;0;0;0;0;1535;0;0;0;0;0;0
10980;608;Schoonhoven;6114;3;0,05%;9107;6117;67,17%;1047;913;1423;956;543;377;855;0;0;0;0;0;0;0;0
10627;444;Schoorl;3442;7;0,20%;5274;3449;65,40%;664;628;964;747;0;439;0;0;0;0;0;0;0;0;0
10843;1676;Schouwen-Duiveland;15553;51;0,33%;25403;15604;61,43%;2862;2918;0;4327;709;1669;2081;0;0;0;987;0;0;0;0
10045;964;Sevenum;3882;19;0,49%;5584;3901;69,86%;1838;0;782;0;0;0;0;0;1262;0;0;0;0;0;0
10534;390;'s-Graveland;4973;19;0,38%;7396;4992;67,50%;1217;0;1763;1048;0;304;0;0;641;0;0;0;0;0;0
10052;517;'s-Gravendeel;4322;8;0,19%;6749;4330;64,16%;1026;1369;0;779;0;510;0;0;0;638;0;0;0;0;0
10640;519;'s-Gravenzande;9103;17;0,19%;14007;9120;65,11%;2959;1043;1170;2369;321;288;953;0;0;0;0;0;0;0;0
10054;796;'s-Hertogenbosch;53721;90;0,17%;98912;53811;54,40%;7164;6732;18669;6712;4633;2407;1781;4925;0;0;0;0;0;698;0
10515;965;Simpelveld;7101;14;0,20%;9365;7115;75,97%;2330;404;4367;0;0;0;0;0;0;0;0;0;0;0;0
11415;1702;Sint Anthonis;6326;41;0,65%;8513;6367;74,79%;3435;0;2891;0;0;0;0;0;0;0;0;0;0;0;0
10496;845;Sint-Michielsgestel;13314;69;0,52%;20968;13383;63,83%;3299;1648;4990;1535;0;747;0;0;0;0;0;1095;0;0;0
10399;846;Sint-Oedenrode;8355;36;0,43%;13008;8391;64,51%;2692;0;3020;850;0;0;0;0;1793;0;0;0;0;0;0
11230;968;Sittard;24676;63;0,26%;38840;24739;63,69%;6797;2650;7820;3090;2828;1491;0;0;0;0;0;0;0;0;0
10022;51;Skarsterlân;13080;24;0,18%;19780;13104;66,25%;4046;3369;2541;1826;0;649;649;0;0;0;0;0;0;0;0
11331;610;Sliedrecht;12007;9;0,07%;18281;12016;65,73%;1603;0;2033;1571;0;0;3657;0;3143;0;0;0;0;0;0
10747;40;Slochteren;7240;27;0,37%;11222;7267;64,76%;1188;1902;1884;0;676;614;0;0;0;0;0;0;976;0;0
11020;1698;Sluis-Aardenburg;3975;1;0,03%;5299;3976;75,03%;805;533;2489;0;0;148;0;0;0;0;0;0;0;0;0
10405;90;Smallingerland;25053;19;0,08%;38743;25072;64,71%;6058;6095;2765;2665;2236;931;0;1648;0;0;1370;0;1285;0;0
11421;91;Sneek;12966;25;0,19%;23289;12991;55,78%;3601;3805;1521;2128;1204;707;0;0;0;0;0;0;0;0;0
11021;342;Soest;20177;25;0,12%;33950;20202;59,51%;4387;2494;3778;5302;0;1100;1325;0;1791;0;0;0;0;0;0
10203;847;Someren;8796;31;0,35%;13401;8827;65,87%;1891;0;4356;1616;0;0;0;0;933;0;0;0;0;0;0
10549;848;Son en Breugel;7562;23;0,30%;11309;7585;67,07%;1487;1079;3236;1422;0;338;0;0;0;0;0;0;0;0;0
10735;612;Spijkenisse;27239;47;0,17%;53477;27286;51,02%;2145;5420;10200;5432;1238;1676;1128;0;0;0;0;0;0;0;0
10913;179;Stad Delden;4407;15;0,34%;5840;4422;75,72%;1968;777;702;707;0;253;0;0;0;0;0;0;0;0;0
10610;37;Stadskanaal;14551;44;0,30%;25813;14595;56,54%;4111;4977;0;2001;0;952;0;0;0;0;1573;0;937;0;0
11362;180;Staphorst;8597;4;0,05%;10335;8601;83,22%;1444;1076;1522;0;0;0;0;0;0;2524;1282;0;749;0;0
11337;532;Stede Broec;9225;7;0,08%;15609;9232;59,15%;1602;966;3946;1250;794;667;0;0;0;0;0;0;0;0;0
10731;851;Steenbergen;8932;33;0,37%;17889;8965;50,11%;1892;1300;2840;1844;0;649;407;0;0;0;0;0;0;0;0
10497;280;Steenderen;2788;19;0,68%;3693;2807;76,01%;1341;834;0;613;0;0;0;0;0;0;0;0;0;0;0
10546;181;Steenwijk;11204;32;0,29%;17191;11236;65,36%;2910;3324;1390;1547;711;547;775;0;0;0;0;0;0;0;0
11319;971;Stein;14769;156;1,06%;21047;14925;70,91%;2737;1870;8213;862;0;1087;0;0;0;0;0;0;0;0;0
10558;617;Strijen;4913;25;0,51%;7157;4938;69,00%;1106;922;948;1189;367;0;0;0;0;381;0;0;0;0;0
10457;974;Susteren;8200;41;0,50%;10348;8241;79,64%;2008;527;4802;0;0;863;0;0;0;0;0;0;0;0;0
10474;975;Swalmen;4171;55;1,32%;6671;4226;63,35%;1572;0;1027;601;0;0;0;0;971;0;0;0;0;0;0
11333;976;Tegelen;8956;27;0,30%;14953;8983;60,07%;2001;1112;3596;1384;0;348;0;0;515;0;0;0;0;0;0
10891;9;Ten Boer;3970;0;0,00%;5324;3970;74,57%;1090;1024;512;447;0;240;0;0;0;0;0;0;657;0;0
11104;480;Ter Aar;4560;7;0,15%;6738;4567;67,78%;1453;0;1320;866;0;0;0;0;921;0;0;0;0;0;0
10704;715;Terneuzen;15207;44;0,29%;26872;15251;56,75%;3030;3184;2430;2504;873;736;1327;0;0;1123;0;0;0;0;0
11210;93;Terschelling;2952;1;0,03%;3877;2953;76,17%;471;902;1119;460;0;0;0;0;0;0;0;0;0;0;0
10237;448;Texel;7464;28;0,38%;10223;7492;73,29%;1566;943;1831;1271;1325;528;0;0;0;0;0;0;0;0;0
10376;716;Tholen;12133;7;0,06%;17300;12140;70,17%;1654;3020;410;2027;0;676;1182;0;0;3164;0;0;0;0;0
11195;977;Thorn;1659;53;3,19%;2133;1712;80,26%;565;528;566;0;0;0;0;0;0;0;0;0;0;0;0
10027;281;Tiel;13259;40;0,30%;27475;13299;48,40%;2546;3988;0;3321;1443;983;0;978;0;0;0;0;0;0;0
10792;855;Tilburg;50141;8;0,02%;143744;50149;34,89%;12648;5962;5841;6319;4662;4062;0;5232;4741;0;0;0;0;674;0
10694;183;Tubbergen;11191;12;0,11%;14627;11203;76,59%;7675;887;2177;0;0;452;0;0;0;0;0;0;0;0;0
11241;737;Tytsjerksteradiel;16117;19;0,12%;23637;16136;68,27%;4929;3295;3585;1844;894;561;1009;0;0;0;0;0;0;0;0
10408;282;Ubbergen;5029;8;0,16%;7456;5037;67,56%;1017;0;1524;832;0;447;0;0;1209;0;0;0;0;0;0
11141;856;Uden;18141;24;0,13%;29641;18165;61,28%;4956;1621;2680;3159;525;738;0;4462;0;0;0;0;0;0;0
11238;450;Uitgeest;5351;16;0,30%;8352;5367;64,26%;1027;1143;0;1251;0;633;0;0;1297;0;0;0;0;0;0
11206;451;Uithoorn;11552;12;0,10%;19858;11564;58,23%;1850;1288;3638;3000;1299;477;0;0;0;0;0;0;0;0;0
