Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;Onafhankelijk;PAK;D66;PCG;CPN;SGP;PSP;PPR;GPV;Overige;RPF;RK;GG;PC
10773;457;Weesp;8166;41;0,50%;12793;8207;64,15%;2205;1839;2406;0;912;804;0;0;0;0;0;0;0;0;0;0;0
11116;292;Wehl;3121;23;0,74%;4411;3144;71,28%;1542;181;0;1398;0;0;0;0;0;0;0;0;0;0;0;0;0
10078;870;Werkendam;8709;36;0,41%;11677;8745;74,89%;3617;1997;1165;0;0;0;0;0;1398;0;0;0;0;532;0;0;0
11270;459;Wervershoof;3609;20;0,55%;4952;3629;73,28%;1236;0;478;1320;494;0;0;81;0;0;0;0;0;0;0;0;0
10127;989;Wessem;1331;27;2,03%;1612;1358;84,24%;0;0;0;1331;0;0;0;0;0;0;0;0;0;0;0;0;0
10129;97;Westdongeradeel;3293;24;0,73%;4198;3317;79,01%;1855;624;411;203;200;0;0;0;0;0;0;0;0;0;0;0;0
11095;134;Westerbork;4201;25;0,60%;5235;4226;80,73%;1093;1833;1275;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11041;871;Westerhoven;952;8;0,84%;1151;960;83,41%;0;0;0;952;0;0;0;0;0;0;0;0;0;0;0;0;0
10354;558;Wester-Koggenland;6267;26;0,41%;8422;6293;74,72%;2786;0;1375;839;1267;0;0;0;0;0;0;0;0;0;0;0;0
10701;725;Westerschouwen;3024;10;0,33%;3846;3034;78,89%;662;766;1159;0;0;154;283;0;0;0;0;0;0;0;0;0;0
11085;293;Westervoort;3963;10;0,25%;5600;3973;70,95%;1784;969;799;0;411;0;0;0;0;0;0;0;0;0;0;0;0
10931;726;Westkapelle;1674;3;0,18%;1942;1677;86,35%;447;549;377;0;0;0;0;0;301;0;0;0;0;0;0;0;0
10695;631;Westmaas;1155;7;0,61%;1473;1162;78,89%;479;325;351;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11322;98;Weststellingerwerf;13149;78;0,59%;17783;13227;74,38%;3080;3314;2375;2914;677;599;0;0;0;0;190;0;0;0;0;0;0
10009;614;Westvoorne;7153;79;1,10%;9591;7232;75,40%;1385;1526;2494;1438;0;310;0;0;0;0;0;0;0;0;0;0;0
10676;189;Wierden;12062;47;0,39%;14576;12109;83,07%;6131;1183;0;0;274;389;0;0;519;0;0;0;0;1085;0;1791;690
11277;462;Wieringen;4397;20;0,45%;5946;4417;74,29%;698;1540;1460;0;0;0;0;699;0;0;0;0;0;0;0;0;0
