Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;RK;Overige;D66;PAK;SGP;CPN;PPR;PSP;GPV;PC;GG;PCG;BP;DS70
11108;923;Horst;8452;53;0,63%;11038;8505;77,05%;5687;1329;434;1002;0;0;0;0;0;0;0;0;0;0;0;0;0
10230;321;Houten;4617;17;0,37%;5477;4634;84,61%;3046;0;563;0;0;0;775;233;0;0;0;0;0;0;0;0;0
10466;803;Huijbergen;1179;5;0,42%;1330;1184;89,02%;818;113;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11047;255;Huissen;6633;14;0,21%;8453;6647;78,63%;2740;0;1060;0;1550;0;1283;0;0;0;0;0;0;0;0;0;0
11170;406;Huizen;14005;61;0,44%;18485;14066;76,09%;5379;0;2962;0;0;0;3820;1729;115;0;0;0;0;0;0;0;0
11216;924;Hulsberg;2741;26;0,95%;3102;2767;89,20%;0;0;280;2461;0;0;0;0;0;0;0;0;0;0;0;0;0
11408;677;Hulst;9668;70;0,72%;11756;9738;82,83%;1609;650;766;0;6487;0;156;0;0;0;0;0;0;0;0;0;0
11235;256;Hummelo en Keppel;2439;9;0,37%;2959;2448;82,73%;929;826;684;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10784;925;Hunsel;2796;30;1,07%;3348;2826;84,41%;0;0;0;2796;0;0;0;0;0;0;0;0;0;0;0;0;0
10815;78;Idaarderadeel;5206;6;0,12%;6052;5212;86,12%;719;2518;786;0;1051;0;0;0;132;0;0;0;0;0;0;0;0
11062;102;IJlst;1373;6;0,44%;1694;1379;81,40%;788;371;0;0;214;0;0;0;0;0;0;0;0;0;0;0;0
10858;195;IJsselham;2846;4;0,14%;3344;2850;85,23%;1612;748;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10641;191;IJsselmuiden;6197;11;0,18%;7057;6208;87,97%;2582;617;303;0;371;0;0;1888;0;0;0;82;354;0;0;0;0
10152;353;IJsselstein;7765;32;0,41%;10727;7797;72,69%;3252;0;1218;0;0;746;1886;518;145;0;0;0;0;0;0;0;0
10809;407;Ilpendam;2247;17;0,76%;2909;2264;77,83%;818;638;0;0;533;0;0;0;258;0;0;0;0;0;0;0;0
10256;927;Jabeek;544;5;0,92%;554;549;99,10%;0;0;0;544;0;0;0;0;0;0;0;0;0;0;0;0;0
10481;408;Jisp;573;3;0,52%;660;576;87,27%;0;195;0;0;320;0;0;0;58;0;0;0;0;0;0;0;0
10554;323;Kamerik;1888;4;0,21%;2200;1892;86,00%;1333;203;0;0;194;0;0;158;0;0;0;0;0;0;0;0;0
10253;166;Kampen;16973;56;0,33%;20364;17029;83,62%;6592;4537;1313;0;1155;0;0;1312;129;0;0;617;1318;0;0;0;0
10372;20;Kantens;1098;7;0,64%;1220;1105;90,57%;235;332;0;0;237;0;0;0;0;0;0;138;0;156;0;0;0
11223;678;Kapelle;5002;22;0,44%;6297;5024;79,78%;1935;1075;663;0;640;0;0;438;0;0;0;0;0;0;0;251;0
10707;537;Katwijk;18033;60;0,33%;25104;18093;72,07%;7184;0;1498;0;755;0;2721;4534;0;0;0;0;0;1341;0;0;0
11136;409;Katwoude;183;0;0,00%;195;183;93,85%;0;0;0;34;92;0;0;0;0;0;0;0;0;0;57;0;0
10280;538;Kedichem;773;4;0,52%;869;777;89,41%;0;300;308;0;0;0;0;0;0;0;0;0;165;0;0;0;0
10313;928;Kerkrade;23211;233;1,00%;33571;23444;69,83%;9357;6144;1376;0;3653;0;0;0;316;1430;0;0;935;0;0;0;0
10791;257;Kerkwijk;3193;15;0,47%;3803;3208;84,35%;1128;531;544;0;88;0;0;753;0;0;0;0;149;0;0;0;0
10890;929;Kessel;2177;24;1,10%;2490;2201;88,39%;0;0;0;2177;0;0;0;0;0;0;0;0;0;0;0;0;0
10916;258;Kesteren;4412;19;0,43%;5416;4431;81,81%;1082;1349;0;0;0;0;0;1357;0;0;0;0;0;624;0;0;0
10284;539;Klaaswaal;1966;6;0,31%;2447;1972;80,59%;448;739;0;0;0;0;0;301;0;0;0;0;0;478;0;0;0
10977;930;Klimmen;2580;24;0,93%;2849;2604;91,40%;0;0;0;2403;0;0;177;0;0;0;0;0;0;0;0;0;0
10628;21;Kloosterburen;1064;6;0,56%;1282;1070;83,46%;620;306;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0
10656;804;Klundert;3279;1;0,03%;4182;3280;78,43%;1781;441;358;0;421;0;0;278;0;0;0;0;0;0;0;0;0
10765;324;Kockengen;1614;5;0,31%;1824;1619;88,76%;619;0;0;0;711;0;0;0;0;0;0;0;0;0;284;0;0
10984;79;Kollummerland;6427;15;0,23%;7952;6442;81,01%;4190;1231;666;0;112;0;0;154;0;0;0;74;0;0;0;0;0
10250;682;Kortgene;2155;11;0,51%;2509;2166;86,33%;696;878;409;0;0;0;0;172;0;0;0;0;0;0;0;0;0
10029;540;Koudekerk a/d. Rijn;2240;3;0,13%;2704;2243;82,95%;985;524;278;0;382;0;0;71;0;0;0;0;0;0;0;0;0
10859;542;Krimpen a/d IJssel;13513;86;0,64%;17729;13599;76,70%;2578;4509;3080;0;0;1109;0;2082;155;0;0;0;0;0;0;0;0
10617;541;Krimpen a/d Lek;3371;11;0,33%;4188;3382;80,75%;606;1314;461;0;679;0;0;311;0;0;0;0;0;0;0;0;0
11225;415;Landsmeer;4707;16;0,34%;5706;4723;82,77%;837;1494;1103;0;0;566;0;0;421;286;0;0;0;0;0;0;0
11413;325;Langbroek;1159;7;0,60%;1330;1166;87,67%;170;132;142;0;412;0;0;0;0;0;0;0;0;0;303;0;0
10955;416;Langedijk;6090;29;0,48%;8057;6119;75,95%;2816;1279;1067;0;0;432;0;0;496;0;0;0;0;0;0;0;0
11127;543;Langerak;894;7;0,78%;1042;901;86,47%;190;0;0;0;0;0;292;98;0;0;0;141;173;0;0;0;0
10649;417;Laren;7501;33;0,44%;9688;7534;77,77%;2342;0;2501;0;1061;0;1597;0;0;0;0;0;0;0;0;0;0
10604;22;Leek;8857;33;0,37%;10780;8890;82,47%;2677;2264;1251;0;1506;0;551;0;0;0;0;608;0;0;0;0;0
11017;805;Leende;2214;20;0,90%;2637;2234;84,72%;0;0;348;1866;0;0;0;0;0;0;0;0;0;0;0;0;0
11050;23;Leens;2081;4;0,19%;2447;2085;85,21%;689;760;308;0;0;0;0;0;0;0;0;324;0;0;0;0;0
10465;544;Leerbroek;670;7;1,04%;758;677;89,31%;416;0;0;0;51;0;0;203;0;0;0;0;0;0;0;0;0
10685;545;Leerdam;7705;33;0,43%;10026;7738;77,18%;2085;1726;907;0;1464;329;0;1042;0;0;0;152;0;0;0;0;0
11142;326;Leersum;3583;14;0,39%;4327;3597;83,13%;1016;0;775;0;515;214;737;326;0;0;0;0;0;0;0;0;0
11228;80;Leeuwarden;46816;146;0,31%;61567;46962;76,28%;14377;19482;5508;0;3849;1869;0;347;353;528;0;503;0;0;0;0;0
10851;81;Leeuwarderadeel;4693;24;0,51%;5363;4717;87,95%;1791;2000;541;0;361;0;0;0;0;0;0;0;0;0;0;0;0
