Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;D66;GL;SGP;SP;GPV;CD;RPF
;262;Lochem;10424;56;0,54%;14378;10480;72,89%;1953;2759;1034;664;764;0;0;0;0;0
;329;Loenen;4615;0;0,00%;6392;4615;72,20%;1553;0;932;0;0;0;0;0;0;0
;809;Loon op Zand;10356;33;0,32%;16415;10389;63,29%;2497;1029;1002;676;0;0;181;0;0;0
;330;Loosdrecht;3734;13;0,35%;6751;3747;55,50%;1136;462;1210;926;0;0;0;0;0;0
;331;Lopik;6425;25;0,39%;9058;6450;71,21%;2884;1142;899;0;0;1500;0;0;0;0
;24;Loppersum;5903;21;0,36%;8124;5924;72,92%;1966;2147;419;0;317;0;0;0;0;0
;168;Losser;11737;37;0,32%;16961;11774;69,42%;6080;2310;687;0;0;0;0;0;0;0
;810;Luyksgestel;1648;12;0,73%;2080;1660;79,81%;0;0;0;0;0;0;0;0;0;0
;811;Maarheeze;4750;35;0,74%;6750;4785;70,89%;1836;643;646;0;0;0;0;0;0;0
;332;Maarn;3543;7;0,20%;4411;3550;80,48%;1047;616;1056;559;0;265;0;0;0;0
;333;Maarssen;17226;81;0,47%;28503;17307;60,72%;4076;3066;3404;2352;1065;0;0;0;0;0
;334;Maartensdijk;5375;14;0,26%;6941;5389;77,64%;1593;1312;967;678;0;632;0;0;0;193
;933;Maasbracht;7847;54;0,69%;10697;7901;73,86%;2519;648;0;0;0;0;0;0;0;0
;934;Maasbree;6038;34;0,56%;8695;6072;69,83%;2749;0;324;0;0;0;0;0;0;0
;263;Maasdriel;5463;26;0,48%;6502;5489;84,42%;1645;606;829;0;0;0;0;0;0;0
;555;Maasland;3726;9;0,24%;4614;3735;80,95%;1863;235;345;0;0;0;0;0;0;0
;556;Maassluis;14638;65;0,44%;24880;14703;59,10%;4387;3952;2523;2819;0;0;0;0;0;0
;935;Maastricht;53305;184;0,35%;94531;53489;56,58%;18830;17468;4535;5397;3131;0;366;0;0;0
;812;Made en Drimmelen;6657;40;0,60%;9316;6697;71,89%;1409;1072;781;842;0;0;0;0;0;0
;936;Margraten;8792;39;0,44%;10283;8831;85,88%;3294;1154;1052;0;0;0;0;0;0;0
;686;Mariekerke;2180;7;0,32%;2472;2187;88,47%;573;0;0;0;0;0;0;0;0;0
;169;Markelo;4436;9;0,20%;5442;4445;81,68%;1086;1264;1117;0;0;0;0;0;0;0
;25;Marum;4749;22;0,46%;6707;4771;71,13%;1450;1833;1130;0;0;0;0;0;0;0
;264;Maurik;3109;10;0,32%;4449;3119;70,11%;886;783;583;0;0;0;0;0;0;0
;420;Medemblik;3521;26;0,74%;5193;3547;68,30%;672;392;804;0;676;0;0;0;0;0
;993;Meerlo-Wanssum;3737;9;0,24%;5240;3746;71,49%;2335;0;382;0;0;0;0;0;0;0
;938;Meerssen;13372;62;0,46%;16313;13434;82,35%;5172;958;2318;487;0;0;0;0;0;0
;813;Megen c.a.;1735;12;0,69%;2243;1747;77,89%;631;0;0;0;0;0;0;0;0;0
;941;Meijel;2983;18;0,60%;4027;3001;74,52%;1317;410;0;0;0;0;0;0;0;0
;939;Melick en Herkenbosch;5881;22;0,37%;7672;5903;76,94%;1886;346;496;246;0;0;0;0;0;0
;83;Menaldumadeel;6872;49;0,71%;9770;6921;70,84%;2324;0;1084;0;0;0;0;0;0;0
;119;Meppel;12185;60;0,49%;18108;12245;67,62%;2545;4306;1606;0;0;0;0;0;0;0
;687;Middelburg;17707;42;0,24%;29970;17749;59,22%;4673;4559;2314;2322;1201;0;0;0;0;0
;559;Middelharnis;8208;13;0,16%;11917;8221;68,99%;1237;1594;719;0;0;0;0;0;0;0
;688;Middenschouwen;1435;10;0,70%;1928;1445;74,95%;458;340;417;0;0;0;0;0;0;0
;814;Mierlo;5349;12;0,22%;7361;5361;72,83%;2054;0;534;401;0;0;0;0;0;0
;815;Mill en Sint Hubert;6131;47;0,77%;7964;6178;77,57%;2466;1277;326;0;0;0;0;0;0;0
;265;Millingen aan de Rijn;2825;11;0,39%;4085;2836;69,42%;878;1260;0;0;0;0;0;0;0;0
;816;Moergestel;3620;12;0,33%;4507;3632;80,59%;1545;0;311;0;0;0;0;0;0;0
;647;Moerhuizen;5140;14;0,27%;7187;5154;71,71%;1146;924;813;0;0;0;0;0;0;0
;562;Monster;10581;28;0,26%;14688;10609;72,23%;3960;839;980;0;0;0;0;0;0;0
;335;Montfoort;6373;11;0,17%;8858;6384;72,07%;2836;743;1222;0;0;630;0;0;0;0
;944;Mook en Middelaar;3763;16;0,43%;5449;3779;69,35%;877;889;539;0;214;0;0;0;0;0
;563;Moordrecht;3564;36;1,01%;5338;3600;67,44%;902;1127;682;506;0;347;0;0;0;0
;424;Muiden;4150;16;0,39%;5203;4166;80,07%;960;762;1241;1187;0;0;0;0;0;0
;565;Naaldwijk;12670;71;0,56%;20456;12741;62,28%;7834;2312;2524;0;0;0;0;0;0;0
;425;Naarden;8374;2;0,02%;12808;8376;65,40%;1730;1202;2772;1356;0;0;0;0;0;0
;426;Nederhorst den Berg;2717;22;0,81%;4010;2739;68,30%;1109;742;866;0;0;0;0;0;0;0
;643;Nederlek;7924;28;0,35%;11092;7952;71,69%;1366;2130;1119;0;0;792;0;0;0;0
;946;Nederweert;7876;62;0,79%;11717;7938;67,75%;4198;1168;376;0;0;0;0;0;0;0
;266;Neede;6491;20;0,31%;8550;6511;76,15%;2052;2136;736;0;0;0;0;0;0;0
