Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;Lokale partijen;CDA;VVD;GL;SP;CU;D66;SGP;CU_SGP;PvdA_GL;FNP;PvdA-GL-D66;LPF;Verenigde Senioren Partij;GL/D66;PvdA/D66;Duurzaam Nederland;GL/De Groenen;Nieuwe Communistische Partij;Nieuw Rechts;Partij voor het Noorden;PvdA/GL/D66/SP;NVU;VVD/D66;PvdA/GL/SP;GL/SP/D66;Nederland Mobiel;VIP Vooruitstrevende Integratie Partij
10461;645;Jacobswoude;5026;45;0,90%;8262;5071;61,38%;0;1894;1913;1219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10253;166;Kampen;24523;93;0,38%;36483;24616;67,47%;4407;5121;4441;991;1539;0;5135;0;2889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11223;678;Kapelle;6256;30;0,48%;8847;6286;71,05%;1430;881;1446;1134;0;0;544;0;821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10313;928;Kerkrade;23327;55;0,24%;40730;23382;57,41%;4967;10375;3692;746;1551;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10890;929;Kessel;2172;16;0,74%;3290;2188;66,50%;0;1452;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10984;79;Kollumerland en Nieuwkruisland;6099;50;0,82%;9988;6149;61,56%;1415;0;1906;822;0;0;793;0;0;0;0;1163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10914;588;Korendijk;5672;10;0,18%;8258;5682;68,81%;1143;933;1073;1078;0;0;0;0;1445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10859;542;Krimpen aan den IJssel;14628;27;0,18%;22036;14655;66,50%;3432;2114;1803;2263;940;0;0;375;0;3701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10173;1659;Laarbeek;9822;22;0,22%;16760;9844;58,74%;1455;6664;1703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10276;1685;Landerd;7763;21;0,27%;11130;7784;69,94%;0;6648;666;449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11335;882;Landgraaf;19954;86;0,43%;31611;20040;63,40%;4452;7991;3110;1133;1281;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11225;415;Landsmeer;5448;33;0,61%;8008;5481;68,44%;1605;1040;508;1565;276;0;0;454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10955;416;Langedijk;11479;26;0,23%;19276;11505;59,69%;2072;2350;2107;1752;1008;0;841;1349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10649;417;Laren;6049;13;0,21%;8730;6062;69,44%;546;2535;953;1517;297;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
